variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
country_dummies_pmm,log_gdp_per_capita,604,4,10.073280130872783,9.052353226972977,8.714477082836265,8.562794245222511,11.308419551020663,9.603989710339553
country_dummies_pmm,unemployment_rate_pc,556,52,8.64658273381295,8.21923076923077,3.4,4.220000000000001,18.325000000000003,15.445
country_dummies_pmm,poverty_or_social_exclusion_pc,375,233,22.832533333333334,25.636909871244633,13.58,16.18,39.230000000000004,42.73999999999999
country_dummies_pmm,government_health_expenditure_gdp_pc,502,106,6.281872509960159,6.5924528301886784,3.005,5.0,8.795,8.7
country_dummies_pmm,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,6.1519512195121955,3.992,4.1415,9.373999999999999,8.48
country_dummies_pmm,gini_income,409,199,30.26234718826406,31.013567839195975,23.7,24.5,38.4,39.61
country_dummies_pmm,physicians_per_100k,431,177,358.74201856148494,349.11683615819214,240.42000000000002,234.236,467.22,458.558
country_dummies_pmm,hospital_beds_per_100k,522,86,488.3322030651341,488.61220930232554,246.412,249.91,779.202,799.2775
country_dummies_pmm,oop_health_expenditure_share_pc,444,164,20.654324324324325,23.30115853658537,10.1925,10.4735,38.369499999999974,39.05099999999999
country_dummies_pmm,long_term_unemployment_rate_pc,554,54,3.8494584837545123,3.7333333333333325,0.7650000000000002,0.93,12.4,10.569999999999999
