indicator_id,indicator_label,step,required_variables,rows,countries,years,rows_lost_from_previous,retained_pct_of_start
medical_population_cost,Medical cost,+ capacity sensitivity,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc; government_health_expenditure_gdp_pc; compulsory_health_financing_gdp_pc; physicians_per_100k; hospital_beds_per_100k,233,27,9,49,38.32236842105263
medical_population_distance,Medical distance,Outcome observed,outcome_value_pc,608,37,18,0,100.0
medical_population_distance,Medical distance,+ population weight,outcome_value_pc; population_weight_year_norm,607,37,18,1,99.83552631578948
medical_population_distance,Medical distance,+ GDP,outcome_value_pc; log_gdp_per_capita,604,36,18,3,99.34210526315789
medical_population_distance,Medical distance,+ unemployment,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc,555,34,18,49,91.28289473684211
medical_population_distance,Medical distance,+ poverty/social exclusion,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc,360,34,11,195,59.21052631578947
medical_population_distance,Medical distance,Baseline complete case,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc; government_health_expenditure_gdp_pc; compulsory_health_financing_gdp_pc,282,30,10,78,46.38157894736842
medical_population_distance,Medical distance,+ capacity sensitivity,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc; government_health_expenditure_gdp_pc; compulsory_health_financing_gdp_pc; physicians_per_100k; hospital_beds_per_100k,233,27,9,49,38.32236842105263
medical_population_waiting,Medical waiting,Outcome observed,outcome_value_pc,608,37,18,0,100.0
medical_population_waiting,Medical waiting,+ population weight,outcome_value_pc; population_weight_year_norm,607,37,18,1,99.83552631578948
medical_population_waiting,Medical waiting,+ GDP,outcome_value_pc; log_gdp_per_capita,604,36,18,3,99.34210526315789
medical_population_waiting,Medical waiting,+ unemployment,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc,555,34,18,49,91.28289473684211
medical_population_waiting,Medical waiting,+ poverty/social exclusion,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc,360,34,11,195,59.21052631578947
medical_population_waiting,Medical waiting,Baseline complete case,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc; government_health_expenditure_gdp_pc; compulsory_health_financing_gdp_pc,282,30,10,78,46.38157894736842
medical_population_waiting,Medical waiting,+ capacity sensitivity,outcome_value_pc; log_gdp_per_capita; unemployment_rate_pc; poverty_or_social_exclusion_pc; government_health_expenditure_gdp_pc; compulsory_health_financing_gdp_pc; physicians_per_100k; hospital_beds_per_100k,233,27,9,49,38.32236842105263
