model,family,test_mae,test_rmse,test_r2,n_test
Previous-year outcome,naive/statistical baseline,0.5873563218390805,1.0059021227036806,0.8498412459399781,87
AR(1) linear,naive/statistical baseline,0.6610979969207857,1.100976776940133,0.8201147625829196,87
Ridge with lagged predictors,naive/statistical baseline,0.6948112523342802,1.1150092934714748,0.8155000804073413,87
Last observed country value,naive/statistical baseline,0.7183908045977012,1.186853272167698,0.7909581357485439,87
Rolling country mean,naive/statistical baseline,0.7957854406130265,1.3574401195488957,0.7265483373467896,87
Country mean,naive/statistical baseline,0.8547701149425289,1.3400020372261063,0.7335288942388569,87
Last training-year mean,naive/statistical baseline,1.8145461751882672,2.6131326311988503,-0.013356163174939928,87
Global mean,naive/statistical baseline,1.884563758389262,2.595926555244401,-5.528442226743202e-05,87
