variable,included_n,included_mean,excluded_n,excluded_mean,smd
unmet_need_pc,282,2.625886524822695,326,3.8546012269938656,-0.36761414673831766
gdp_per_capita_eur,282,36851.382978723406,322,26235.31055900621,0.4622531706321871
unemployment_rate_pc,282,6.863829787234042,274,10.481386861313867,-0.7551282975172088
poverty_or_social_exclusion_pc,282,20.99964539007092,93,28.39032258064517,-0.9026334029850999
government_health_expenditure_gdp_pc,282,6.372695035460993,220,6.165454545454546,0.12646170958774872
compulsory_health_financing_gdp_pc,282,6.54113475177305,162,6.496234567901234,0.025839056852435566
