model,term,coef,se,statistic,p_value,ci_low,ci_high,nobs,r2
pooled_year_clustered,Intercept,7.389795055575156,6.812953162942688,1.084668407199693,0.27806854522775293,-5.963347772150758,20.74293788330107,282,0.22116659056968657
pooled_year_clustered,year_2016,-0.03260745004700654,0.24075769184624365,-0.13543679455039304,0.8922665342824634,-0.5044838550666367,0.43926895497262364,282,0.22116659056968657
pooled_year_clustered,year_2017,-0.42755163608780045,0.4159650859046944,-1.0278546218798776,0.304018217883827,-1.2428282232871113,0.3877249511115103,282,0.22116659056968657
pooled_year_clustered,year_2018,0.00010721060442393381,0.4925097353840138,0.0002176822034600815,0.9998263147320694,-0.9651941327835954,0.9654085539924434,282,0.22116659056968657
pooled_year_clustered,year_2019,0.0254631460198903,0.5589533124902044,0.04555504985997652,0.9636648969644349,-1.0700652155002728,1.1209915075400532,282,0.22116659056968657
pooled_year_clustered,year_2020,-0.13592429361700675,0.47016590443281,-0.28909857634398345,0.7725059430193848,-1.0574325330640153,0.7855839458300018,282,0.22116659056968657
pooled_year_clustered,year_2021,-0.17059805433311748,0.553170492483691,-0.3084004961420591,0.7577776044901227,-1.2547922969114365,0.9135961882452016,282,0.22116659056968657
pooled_year_clustered,year_2022,0.2416380412951143,0.7329395023405261,0.329683473906757,0.7416391421504245,-1.1948969861390275,1.678173068729256,282,0.22116659056968657
pooled_year_clustered,year_2023,0.8044674830947454,0.7720684342695752,1.0419639599122088,0.2974283884452382,-0.708758841673852,2.3176938078633427,282,0.22116659056968657
pooled_year_clustered,year_2024,0.8027258059120218,0.6298307656499782,1.2745103124386403,0.2024826202816291,-0.4317198111172226,2.0371714229412663,282,0.22116659056968657
pooled_year_clustered,log_gdp_per_capita,-0.5456702421266161,0.593150514744288,-0.9199524042592442,0.3575976320034102,-1.708223888436815,0.6168834041835828,282,0.22116659056968657
pooled_year_clustered,unemployment_rate_pc,0.16022302113448067,0.1861096082550071,0.8609067669141688,0.38928939440017973,-0.20454510822219157,0.5249911504911529,282,0.22116659056968657
pooled_year_clustered,poverty_or_social_exclusion_pc,0.06174914321884043,0.06469218063356055,0.9545070611950689,0.3398270367376869,-0.06504520090429783,0.18854348734197868,282,0.22116659056968657
pooled_year_clustered,government_health_expenditure_gdp_pc,0.15880729915918637,0.19027355586868816,0.8346262224099216,0.40392819311501027,-0.21412201755381224,0.531736615872185,282,0.22116659056968657
pooled_year_clustered,compulsory_health_financing_gdp_pc,-0.4009963000307428,0.24271239395466448,-1.6521459555363445,0.09850480058044732,-0.8767038507833824,0.07471125072189672,282,0.22116659056968657
