model,term,coef,se,statistic,p_value,ci_low,ci_high,nobs,r2
two_way_fe_clustered,Intercept,9.962283254508211,25.05614170641066,0.3975984559489996,0.6909261988657024,-39.14685208158866,59.07141859060508,282,0.8945848839760897
two_way_fe_clustered,country_BE,0.6475603921939518,0.5084865354767375,1.2735054854241596,0.20283872729715258,-0.3490549039640022,1.6441756883519059,282,0.8945848839760897
two_way_fe_clustered,country_BG,-3.624776853370466,3.031506111272035,-1.1957016480661131,0.23181300800290328,-9.566419650376728,2.3168659436357957,282,0.8945848839760897
two_way_fe_clustered,country_CH,-0.7399894307825525,2.89844934666611,-0.25530528302442557,0.798487319859142,-6.420845761261777,4.9408668996966725,282,0.8945848839760897
two_way_fe_clustered,country_CY,-1.0983385367330905,1.4842271800466271,-0.7400070228457789,0.45929573302835247,-4.007370354499926,1.8106932810337453,282,0.8945848839760897
two_way_fe_clustered,country_CZ,0.19133607096885785,2.11226157307131,0.09058351172418849,0.9278235338012327,-3.9486205381788295,4.331292680116546,282,0.8945848839760897
two_way_fe_clustered,country_DE,-1.1139194967106136,1.3819159290673397,-0.8060689317492723,0.4202031042712583,-3.8224249473448073,1.59458595392358,282,0.8945848839760897
two_way_fe_clustered,country_DK,1.4879336978796014,0.5018954941963459,2.9646285234382055,0.003030486257285178,0.5042366052518317,2.471630790507371,282,0.8945848839760897
two_way_fe_clustered,country_EE,9.72020405452453,1.6258228565212351,5.978636611938646,2.2501286882143674e-09,6.533649810500878,12.906758298548182,282,0.8945848839760897
two_way_fe_clustered,country_EL,6.107434525140907,1.4964005563937852,4.081416903412127,4.4761981354767455e-05,3.17454332816339,9.040325722118425,282,0.8945848839760897
two_way_fe_clustered,country_ES,-2.03380811200955,0.9836708293394028,-2.067569812327749,0.038680493181464444,-3.9617675101574257,-0.10584871386167483,282,0.8945848839760897
two_way_fe_clustered,country_FI,4.781297160639995,0.424948477949902,11.251474963992392,2.277512307233971e-29,3.9484134485730737,5.614180872706916,282,0.8945848839760897
two_way_fe_clustered,country_FR,1.2247081343558566,0.7740343193152052,1.582240094262702,0.11359477058954591,-0.2923712542999215,2.7417875230116344,282,0.8945848839760897
two_way_fe_clustered,country_HR,-0.8065594737991733,2.3659380065706825,-0.3409047369623365,0.7331752986269175,-5.443712756332201,3.8305938087338545,282,0.8945848839760897
two_way_fe_clustered,country_HU,-1.8011256413820877,2.5918753013879154,-0.6949121512202414,0.4871103571604779,-6.8811078845213,3.2788566017571243,282,0.8945848839760897
two_way_fe_clustered,country_IE,1.457303395233737,1.1810083470539734,1.2339484296355585,0.2172221215185649,-0.8574304304332314,3.772037220900706,282,0.8945848839760897
two_way_fe_clustered,country_IS,4.520323275469575,0.5064011021989302,8.926369346040346,4.4021892934086055e-19,3.527795353428284,5.512851197510865,282,0.8945848839760897
two_way_fe_clustered,country_IT,0.5250682129475285,0.6210003710416775,0.8455199665448981,0.39782058954348054,-0.6920701486801698,1.7422065745752269,282,0.8945848839760897
two_way_fe_clustered,country_LT,-0.7933961499523007,1.8823949484738893,-0.4214822987043868,0.673402934324751,-4.482822453641255,2.8960301537366533,282,0.8945848839760897
two_way_fe_clustered,country_LU,0.1385568374421811,1.7627558898005777,0.07860239653367783,0.9373488812807788,-3.3163812201028073,3.59349489498717,282,0.8945848839760897
two_way_fe_clustered,country_LV,2.5116828128919244,2.217166188292851,1.1328347086268,0.2572836727991945,-1.833883063902015,6.857248689685864,282,0.8945848839760897
two_way_fe_clustered,country_MT,-1.5833189031493358,1.2763795125980903,-1.2404765882887492,0.2147991683484891,-4.084976778446381,0.9183389721477095,282,0.8945848839760897
two_way_fe_clustered,country_NL,-0.2473119145918567,0.7072848803825921,-0.3496637938281363,0.7265910287310204,-1.6335648069514574,1.138940977767744,282,0.8945848839760897
two_way_fe_clustered,country_NO,1.2343074671803969,1.3466416910664474,0.9165819500233283,0.35936174637541984,-1.4050617473899538,3.8736766817507475,282,0.8945848839760897
two_way_fe_clustered,country_PL,1.7615691757410417,2.826922481943028,0.6231402477404555,0.5331923632506653,-3.7790970759538736,7.302235427435957,282,0.8945848839760897
two_way_fe_clustered,country_PT,0.14187301881531716,1.5876241162332967,0.08936184413217199,0.9287943460853614,-2.969813069989177,3.2535591076198114,282,0.8945848839760897
two_way_fe_clustered,country_RO,-0.5117919557633478,2.629917553077217,-0.1946038023756713,0.845703126105986,-5.6663356421044,4.642751730577704,282,0.8945848839760897
two_way_fe_clustered,country_SE,0.7818844495284769,1.2821278891708594,0.6098334309178116,0.5419721534219432,-1.7310400368207697,3.2948089358777235,282,0.8945848839760897
two_way_fe_clustered,country_SI,2.0146627654766105,1.6917340973335024,1.1908861851588295,0.23369826858366016,-1.3010751367154327,5.330400667668654,282,0.8945848839760897
two_way_fe_clustered,country_SK,1.2927735247224759,2.2924734233741426,0.5639208339522325,0.5728080105871988,-3.200391820606087,5.785938870051038,282,0.8945848839760897
two_way_fe_clustered,year_2016,-0.19574057638119025,0.16954866959192919,-1.1544801669768328,0.24830336509040363,-0.5280498624080529,0.13656870964567236,282,0.8945848839760897
two_way_fe_clustered,year_2017,-0.6536716197109648,0.3186268732069998,-2.0515269573207,0.040215657181083934,-1.2781688157032947,-0.02917442371863488,282,0.8945848839760897
two_way_fe_clustered,year_2018,-0.2734860768566712,0.3201730807712914,-0.8541819824385235,0.39300416470899546,-0.901013783987636,0.35404163027429364,282,0.8945848839760897
two_way_fe_clustered,year_2019,-0.2951472417838406,0.3925063136441294,-0.7519553992485314,0.4520778808330307,-1.0644454802309167,0.4741509966632354,282,0.8945848839760897
two_way_fe_clustered,year_2020,-0.31902604564860776,0.43524056567051916,-0.7329878481274497,0.4635658410358534,-1.1720818789736656,0.5340297876764502,282,0.8945848839760897
two_way_fe_clustered,year_2021,-0.2891066127358901,0.625721209855645,-0.4620374188731552,0.6440544868921716,-1.5154976484157836,0.9372844229440034,282,0.8945848839760897
two_way_fe_clustered,year_2022,0.03680264039968762,0.7399345301766239,0.049737698267578824,0.9603314147494345,-1.4134423896640609,1.4870476704634363,282,0.8945848839760897
two_way_fe_clustered,year_2023,0.662222964291826,0.8666205675702994,0.7641440661262718,0.44478139462252286,-1.0363221364076212,2.360768064991273,282,0.8945848839760897
two_way_fe_clustered,year_2024,0.5694944116336275,0.9421968402306728,0.6044325212279436,0.5455561195891332,-1.2771774615659308,2.4161662848331855,282,0.8945848839760897
