variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
baseline_m50,log_gdp_per_capita,604,4,10.073280130872783,10.321855005811674,8.714477082836265,8.004224497591157,11.308419551020663,11.464850766761627
baseline_m50,gdp_per_capita_eur,604,4,31191.82119205298,6666.530993848835,6090.5,766.567902766126,81505.0,13028.621973828065
baseline_m50,unemployment_rate_pc,556,52,8.64658273381295,21.358037978912442,3.4,3.507628352243202,18.325000000000003,37.11561765633908
baseline_m50,poverty_or_social_exclusion_pc,375,233,22.832533333333334,29.420401357796084,13.58,3.146990780722308,39.230000000000004,58.589236685235456
baseline_m50,government_health_expenditure_gdp_pc,502,106,6.281872509960159,6.918853734549477,3.005,0.4705878238751411,8.795,14.180248209836328
baseline_m50,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,7.475356474087451,3.992,0.8003374929464518,9.373999999999999,13.869412842081218
baseline_m50,gini_income,409,199,30.26234718826406,30.759762111423854,23.7,3.729053592714123,38.4,58.06205462645988
baseline_m50,physicians_per_100k,431,177,358.74201856148494,484.39984752217623,240.42000000000002,43.00592012546688,467.22,951.0884854328162
baseline_m50,hospital_beds_per_100k,522,86,488.3322030651341,802.1583527617304,246.412,129.92607494412505,779.202,1407.9086154449988
baseline_m50,oop_health_expenditure_share_pc,444,164,20.654324324324325,30.50693999161679,10.1925,2.3267326999286215,38.369499999999974,56.75678377314237
baseline_m50,long_term_unemployment_rate_pc,554,54,3.8494584837545123,14.085535087043745,0.7650000000000002,0.0,12.4,27.515839577346235
