variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
no_outcome_pmm,log_gdp_per_capita,604,4,10.073280130872783,9.724889041412936,8.714477082836265,9.320773860451833,11.308419551020663,10.045000543729758
no_outcome_pmm,unemployment_rate_pc,556,52,8.64658273381295,7.759615384615385,3.4,4.5,18.325000000000003,12.439999999999994
no_outcome_pmm,poverty_or_social_exclusion_pc,375,233,22.832533333333334,25.75364806866953,13.58,15.860000000000001,39.230000000000004,43.3
no_outcome_pmm,government_health_expenditure_gdp_pc,502,106,6.281872509960159,5.6547169811320765,3.005,2.7,8.795,8.25
no_outcome_pmm,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,5.34780487804878,3.992,3.0285,9.373999999999999,8.024999999999999
no_outcome_pmm,gini_income,409,199,30.26234718826406,30.771356783919597,23.7,23.49,38.4,40.2
no_outcome_pmm,physicians_per_100k,431,177,358.74201856148494,354.1070056497175,240.42000000000002,231.37199999999999,467.22,508.83799999999974
no_outcome_pmm,hospital_beds_per_100k,522,86,488.3322030651341,500.6202325581396,246.412,282.57,779.202,732.4975
no_outcome_pmm,oop_health_expenditure_share_pc,444,164,20.654324324324325,25.86567073170732,10.1925,10.141,38.369499999999974,44.61
no_outcome_pmm,long_term_unemployment_rate_pc,554,54,3.8494584837545123,3.2833333333333337,0.7650000000000002,0.665,12.4,8.944999999999984
