model_name,alpha,mae_test,rmse_test,r2_test
OLS,,1.9377258977200056,2.4036408170539802,0.002759530829517076
Ridge,100.0,1.3735450912358114,1.9452264863113415,0.3468677895043726
Lasso,0.1,1.4282300036859321,1.8871223199768434,0.38530333580358234
