specification,term,coef,se,p_value,ci_low,ci_high,nobs,countries
Complete-case two-way FE,poverty_or_social_exclusion_pc,0.17752062443807837,0.06721106140387914,0.008260288895314718,0.04578936472376516,0.3092518841523916,282.0,30.0
Population-weighted complete-case FE,poverty_or_social_exclusion_pc,0.3040611920354954,0.15851680673687712,0.05509025142817865,-0.006626040113079934,0.6147484241840708,282.0,30.0
Earlier MI sensitivity,poverty_or_social_exclusion_pc,0.0001467275754056,0.001156748055516,0.8994481233615861,,,422.0,30.0
IPW two-way FE,poverty_or_social_exclusion_pc,0.1781618528630968,0.06737334766445204,0.008183670101276594,0.046112517922875046,0.3102111878033186,282.0,30.0
PMM MI full target,poverty_or_social_exclusion_pc,0.013931243326432778,0.04342586902113092,0.7484886180745209,-0.07118345995498383,0.09904594660784939,608.0,37.0
