variable,pearson_r,p_value,n
gdp_per_capita_eur,0.24908069221237272,0.14293633779706164,36
oop_health_expenditure_share_pc,-0.024478375915672347,0.8924413815067332,33
gini_income,-0.20517330417052296,0.22314942063140866,37
government_health_expenditure_gdp_pc,0.13792147426311832,0.4673409181927226,30
poverty_or_social_exclusion_pc,-0.0027028831844736877,0.9875176316781891,36
