term,coef,se,z_value,p_value,nobs,countries
Intercept,17.83031207337733,9.636193252546855,1.8503481204743129,0.06426339122907028,473,30
unemployment_rate_pc,0.16270921996202706,0.027419393193980155,5.9340926624791015,2.9547492856600144e-09,473,30
gdp_per_capita_growth,-1.6559029111951884,1.570911280018672,-1.0541033935255122,0.29183558267713927,473,30
unemployment_rate_change,-0.04337653469765285,0.0710958533450048,-0.610113426547689,0.5417866730900509,473,30
mean_log_gdp_per_capita,-1.473619209749197,0.8014234448568407,-1.8387523090398628,0.06595162573026857,473,30
mean_government_health_expenditure_gdp_pc,-0.22803389571367957,0.3378994792024335,-0.6748571979214737,0.4997664963845547,473,30
mean_oop_health_expenditure_share_pc,0.020144844598031387,0.06946255951125813,0.29001011105509894,0.7718085023617859,473,30
Random intercept variance,5.026423572710123,,,,473,30
Residual variance,2.5884314232997703,,,,473,30
