term,cluster_coef,cluster_se,cluster_p_value,driscoll_kraay_coef,driscoll_kraay_se,driscoll_kraay_p_value
log_gdp_per_capita,-1.0413940187861204,2.2014815543652793,0.6361829617555528,-1.0413940187861204,1.1424128887366274,0.3619929534542222
unemployment_rate_pc,-0.033702760104281825,0.0865641496151144,0.6970257260607282,-0.033702760104281825,0.05991115055992302,0.5737442764418317
poverty_or_social_exclusion_pc,0.17752062443807837,0.06721106140387914,0.008260288895314718,0.17752062443807837,0.07584812464583839,0.0192592380327164
government_health_expenditure_gdp_pc,-0.22898969438363656,0.4464095688548135,0.607980175835404,-0.22898969438363656,0.19539239760247043,0.2412180063806605
compulsory_health_financing_gdp_pc,0.0973662365956117,0.4440722134629466,0.8264493379749123,0.0973662365956117,0.21946138379850633,0.6572884222924877
