feature,mean_importance,std_importance,cv_coefficient
lag1_unmet_need_pc,0.9194901106094573,0.0023606546802437942,0.002567351897541457
lag1_unemployment_rate_pc,0.033397536798956996,0.002169725925050641,0.06496664523829199
lag1_poverty_or_social_exclusion_pc,0.015044159288128769,0.0009660670321790652,0.06421542165811693
lag1_compulsory_health_financing_gdp_pc,0.013926824618236387,0.0007747051532993205,0.05562683343372387
lag1_log_gdp_per_capita,0.009932386926274305,0.0014256396914829612,0.14353444968114293
lag1_government_health_expenditure_gdp_pc,0.008208981758946323,0.0006638158161894049,0.08086457439937228
