model,family,best_params,cv_mae_mean,cv_mae_std,test_mae,test_rmse,test_r2
Lasso,linear,"{""model__alpha"": 0.1}",0.5614186238482748,0.2017486447546023,0.6666723413101328,1.1158360510425231,0.8152263728108837
Elastic Net,linear,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",0.5555382569512737,0.16877408548730344,0.6746138668935102,1.1331106449284563,0.8094610156731014
Ridge,linear,"{""model__alpha"": 10}",0.5715773423002958,0.15934704048961787,0.6929917834302581,1.139473519165816,0.8073151006391004
Random Forest,tree,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5438708333333331,0.09960800165175256,0.7273390804597706,1.3133401164566079,0.7440273131242958
XGBoost,tree,"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 500}",0.6238005147377649,0.17951789939925397,0.7693886371179558,1.3496257596244945,0.729687627388578
