variable,included_n,included_mean,excluded_n,excluded_mean,difference,t_stat,p_value
unmet_need_pc,282,2.625886524822695,326,3.8546012269938656,-1.2287147021711706,-4.5567271807593555,6.2926847109544305e-06
gdp_per_capita_eur,282,36851.382978723406,322,26235.31055900621,10616.072419717195,5.637030921669194,2.759508507892928e-08
unemployment_rate_pc,282,6.863829787234042,274,10.481386861313867,-3.6175570740798246,-8.875059180124302,1.5504388064955598e-17
poverty_or_social_exclusion_pc,282,20.99964539007092,93,28.39032258064517,-7.390677190574248,-6.8369433515168625,3.914073267892835e-10
