feature,mean_importance,std_importance
lag1_unmet_need_pc,1.4841691570881221,0.11503796752988801
lag1_log_gdp_per_capita,0.037359961685823916,0.012135041751222021
lag1_unemployment_rate_pc,0.01570862068965536,0.01544028862331895
lag1_poverty_or_social_exclusion_pc,0.01455900383141791,0.006197346835016162
lag1_government_health_expenditure_gdp_pc,0.0018982758620691097,0.007821558707720116
lag1_compulsory_health_financing_gdp_pc,-0.0047645593869729405,0.007940517469580244
