,unmet_need_pc,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc
unmet_need_pc,1.0,-0.3049403294265403,0.3048932097804614,0.35882674771633266,-0.17168896476140527,-0.34064632182142257
gdp_per_capita_eur,-0.3049403294265403,1.0,-0.27678209670482595,-0.4008093431115098,0.0045794710035442976,0.3296662348748705
unemployment_rate_pc,0.3048932097804614,-0.27678209670482595,1.0,0.45747712366641236,-0.09278667550198462,-0.18197329643847499
poverty_or_social_exclusion_pc,0.35882674771633266,-0.4008093431115098,0.45747712366641236,1.0,-0.4161600625578135,-0.4867384935019978
government_health_expenditure_gdp_pc,-0.17168896476140527,0.0045794710035442976,-0.09278667550198462,-0.4161600625578135,1.0,0.6946744877723694
compulsory_health_financing_gdp_pc,-0.34064632182142257,0.3296662348748705,-0.18197329643847499,-0.4867384935019978,0.6946744877723694,1.0
