variant,variable,country_group,period,source,n,mean,sd,min,p05,median,p95,max
baseline_pmm,poverty_or_social_exclusion_pc,Western/Northern,All,Observed,141,18.063120567375883,2.4095468260210775,11.3,14.4,17.9,21.9,25.4
baseline_pmm,poverty_or_social_exclusion_pc,Western/Northern,All,Imputed where missing,98,19.181632653061225,4.055856067587291,10.7,12.6,18.55,27.3,27.8
baseline_pmm,poverty_or_social_exclusion_pc,All,2015-onward,Observed,375,22.832533333333334,7.896577999350209,10.7,13.58,20.3,39.230000000000004,58.5
baseline_pmm,poverty_or_social_exclusion_pc,All,2015-onward,Imputed where missing,2,27.15,15.061374439273461,16.5,17.565,27.15,36.735,37.8
baseline_pmm,poverty_or_social_exclusion_pc,All,pre-2015,Observed,0,,,,,,,
baseline_pmm,poverty_or_social_exclusion_pc,All,pre-2015,Imputed where missing,231,24.784848484848485,8.373721049573708,10.7,15.2,22.8,41.1,53.9
baseline_pmm,poverty_or_social_exclusion_pc,Eastern/Southern,2015-onward,Observed,234,25.70641025641026,8.633769506978794,10.7,13.265,24.799999999999997,42.305,58.5
baseline_pmm,poverty_or_social_exclusion_pc,Eastern/Southern,2015-onward,Imputed where missing,2,27.15,15.061374439273461,16.5,17.565,27.15,36.735,37.8
baseline_pmm,poverty_or_social_exclusion_pc,Eastern/Southern,pre-2015,Observed,0,,,,,,,
baseline_pmm,poverty_or_social_exclusion_pc,Eastern/Southern,pre-2015,Imputed where missing,133,28.913533834586467,8.342950044661071,12.1,17.560000000000002,29.0,42.81999999999999,53.9
baseline_pmm,poverty_or_social_exclusion_pc,Western/Northern,2015-onward,Observed,141,18.063120567375883,2.4095468260210775,11.3,14.4,17.9,21.9,25.4
baseline_pmm,poverty_or_social_exclusion_pc,Western/Northern,2015-onward,Imputed where missing,0,,,,,,,
baseline_pmm,poverty_or_social_exclusion_pc,Western/Northern,pre-2015,Observed,0,,,,,,,
baseline_pmm,poverty_or_social_exclusion_pc,Western/Northern,pre-2015,Imputed where missing,98,19.181632653061225,4.055856067587291,10.7,12.6,18.55,27.3,27.8
baseline_pmm,government_health_expenditure_gdp_pc,All,All,Observed,502,6.281872509960159,1.64176104261223,1.7,3.005,6.5,8.795,10.1
baseline_pmm,government_health_expenditure_gdp_pc,All,All,Imputed where missing,106,5.580188679245283,1.6057290177196184,1.9,2.5,5.4,7.975,8.9
baseline_pmm,government_health_expenditure_gdp_pc,Eastern/Southern,All,Observed,284,5.775352112676057,1.3116863485574541,2.5,3.7150000000000003,5.7,7.7,9.5
baseline_pmm,government_health_expenditure_gdp_pc,Eastern/Southern,All,Imputed where missing,85,5.311764705882352,1.5565844603081544,1.9,2.5,5.2,7.8,8.4
baseline_pmm,government_health_expenditure_gdp_pc,Western/Northern,All,Observed,218,6.941743119266055,1.7905153824052606,1.7,2.1,7.3,9.0,10.1
baseline_pmm,government_health_expenditure_gdp_pc,Western/Northern,All,Imputed where missing,21,6.666666666666667,1.3469719126000115,4.4,4.7,7.1,8.1,8.9
baseline_pmm,government_health_expenditure_gdp_pc,All,2015-onward,Observed,296,6.378378378378378,1.6299959671590138,2.1,3.575,6.55,8.9,10.1
baseline_pmm,government_health_expenditure_gdp_pc,All,2015-onward,Imputed where missing,81,5.571604938271605,1.5362482357924152,1.9,2.5,5.4,7.8,8.4
baseline_pmm,government_health_expenditure_gdp_pc,All,pre-2015,Observed,206,6.143203883495145,1.652618742919328,1.7,3.0,6.5,8.2,9.3
baseline_pmm,government_health_expenditure_gdp_pc,All,pre-2015,Imputed where missing,25,5.608,1.8472772757042546,2.5,3.1,5.0,8.08,8.9
baseline_pmm,government_health_expenditure_gdp_pc,Eastern/Southern,2015-onward,Observed,169,5.925443786982249,1.2842002136682478,2.5,4.14,5.8,8.179999999999998,9.5
baseline_pmm,government_health_expenditure_gdp_pc,Eastern/Southern,2015-onward,Imputed where missing,67,5.3552238805970145,1.5030558349766785,1.9,2.5,5.4,7.64,8.4
baseline_pmm,government_health_expenditure_gdp_pc,Eastern/Southern,pre-2015,Observed,115,5.554782608695652,1.3260046491319142,2.7,3.1,5.4,7.529999999999999,8.0
baseline_pmm,government_health_expenditure_gdp_pc,Eastern/Southern,pre-2015,Imputed where missing,18,5.1499999999999995,1.779375303466988,2.5,3.0100000000000002,4.6,8.015,8.1
baseline_pmm,government_health_expenditure_gdp_pc,Western/Northern,2015-onward,Observed,127,6.981102362204726,1.8385524103569355,2.1,2.2,7.4,9.169999999999998,10.1
baseline_pmm,government_health_expenditure_gdp_pc,Western/Northern,2015-onward,Imputed where missing,14,6.607142857142857,1.2874926650809946,4.4,4.595000000000001,7.15,7.97,8.1
baseline_pmm,government_health_expenditure_gdp_pc,Western/Northern,pre-2015,Observed,91,6.886813186813187,1.729817510683893,1.7,2.05,7.3,8.850000000000001,9.3
baseline_pmm,government_health_expenditure_gdp_pc,Western/Northern,pre-2015,Imputed where missing,7,6.785714285714286,1.5593038739862644,4.7,4.73,7.1,8.57,8.9
baseline_pmm,compulsory_health_financing_gdp_pc,All,All,Observed,444,6.524752252252251,1.7599938902698613,2.75,3.992,6.415,9.373999999999999,10.91
baseline_pmm,compulsory_health_financing_gdp_pc,All,All,Imputed where missing,164,5.551036585365854,1.54195462717712,2.75,3.43,5.43,8.49,9.67
baseline_pmm,compulsory_health_financing_gdp_pc,Eastern/Southern,All,Observed,238,5.390336134453782,1.0946983344734376,2.75,3.4225000000000003,5.42,7.0215,8.53
baseline_pmm,compulsory_health_financing_gdp_pc,Eastern/Southern,All,Imputed where missing,131,5.098091603053435,1.1797914512605228,2.75,3.275,4.87,6.965,8.18
baseline_pmm,compulsory_health_financing_gdp_pc,Western/Northern,All,Observed,206,7.835388349514563,1.445046575217052,4.24,4.83,7.9350000000000005,9.735,10.91
baseline_pmm,compulsory_health_financing_gdp_pc,Western/Northern,All,Imputed where missing,33,7.349090909090909,1.5107931766880842,4.24,4.598,7.58,9.256,9.67
baseline_pmm,compulsory_health_financing_gdp_pc,All,2015-onward,Observed,291,6.553161512027492,1.8051442691498656,2.75,4.1850000000000005,6.27,9.684999999999999,10.91
baseline_pmm,compulsory_health_financing_gdp_pc,All,2015-onward,Imputed where missing,86,5.643837209302327,1.5168583388854209,2.75,3.805,5.525,8.4125,9.67
baseline_pmm,compulsory_health_financing_gdp_pc,All,pre-2015,Observed,153,6.470718954248366,1.67522076493909,2.98,3.434,6.61,8.906,9.3
baseline_pmm,compulsory_health_financing_gdp_pc,All,pre-2015,Imputed where missing,78,5.448717948717949,1.5725835794065492,2.86,3.3345,5.37,8.566999999999998,9.16
baseline_pmm,compulsory_health_financing_gdp_pc,Eastern/Southern,2015-onward,Observed,165,5.496787878787879,1.0681103600825128,2.75,3.844,5.51,7.111999999999999,8.53
baseline_pmm,compulsory_health_financing_gdp_pc,Eastern/Southern,2015-onward,Imputed where missing,71,5.245915492957748,1.222001376507044,2.75,3.6100000000000003,4.88,7.43,8.18
baseline_pmm,compulsory_health_financing_gdp_pc,Eastern/Southern,pre-2015,Observed,73,5.149726027397261,1.123087228979343,2.98,3.146,5.01,6.651999999999999,6.81
baseline_pmm,compulsory_health_financing_gdp_pc,Eastern/Southern,pre-2015,Imputed where missing,60,4.923166666666668,1.1125668773144268,2.86,3.1805,4.85,6.5865,6.99
baseline_pmm,compulsory_health_financing_gdp_pc,Western/Northern,2015-onward,Observed,126,7.936507936507938,1.6312696000160454,4.24,4.7925,8.225000000000001,10.0075,10.91
baseline_pmm,compulsory_health_financing_gdp_pc,Western/Northern,2015-onward,Imputed where missing,15,7.527333333333333,1.3780756078504477,4.83,5.306,7.55,9.481,9.67
baseline_pmm,compulsory_health_financing_gdp_pc,Western/Northern,pre-2015,Observed,80,7.676124999999999,1.079879850032553,4.35,6.299,7.68,9.110999999999999,9.3
baseline_pmm,compulsory_health_financing_gdp_pc,Western/Northern,pre-2015,Imputed where missing,18,7.200555555555557,1.6374099785663019,4.24,4.2485,7.895,8.9305,9.16
baseline_pmm,gini_income,All,All,Observed,409,30.26234718826406,4.62379823991906,20.9,23.7,29.7,38.4,46.6
baseline_pmm,gini_income,All,All,Imputed where missing,199,30.287437185929647,4.941434070342284,21.2,23.7,30.1,39.71,44.8
baseline_pmm,gini_income,Eastern/Southern,All,Observed,254,31.777952755905513,5.029343357383231,20.9,23.465,31.9,40.94,46.6
baseline_pmm,gini_income,Eastern/Southern,All,Imputed where missing,115,32.38695652173913,4.9836666861301975,21.6,24.38,31.9,41.94,44.8
