term,coef,se,p_value,ci_low,ci_high,nobs,complete_case_rows
Intercept,-0.7806563761821137,0.7317016105842322,0.2860145705553512,-2.21476518035716,0.653452427992933,608,282
C(country_group)[T.Western/Northern],-0.13737000182099204,0.054154234209656406,0.011192077049335218,-0.24351035048226552,-0.031229653159718568,608,282
unmet_need_pc,-0.00042996294287190456,0.007066745216369291,0.9514841360831064,-0.014280529054876426,0.013420603169132617,608,282
log_gdp_per_capita,0.14522674424270937,0.06987415506435855,0.03767213713984008,0.008275916866399585,0.28217757161901913,608,282
unemployment_rate_pc,-0.015926671050064824,0.006122492231646871,0.009286094043121633,-0.027926535319718955,-0.003926806780410694,608,282
log_gdp_per_capita_missing,-0.5241455915551663,0.13457572560175068,9.827962008189218e-05,-0.7879091669279426,-0.26038201618239004,608,282
unemployment_rate_pc_missing,-0.27903832947529555,0.04916850369844314,1.3857219128656748e-08,-0.3754068258979686,-0.18266983305262255,608,282
year_centered,0.035836765627989944,0.004930061555446683,3.6207784087662595e-13,0.026174022537748927,0.04549950871823096,608,282
