variant,imputations,coef,se,p_value,within_variance,between_variance,total_variance,relative_increase_variance,fraction_missing_information,min_coef,median_coef,max_coef
baseline_pmm,30,0.01393124332643275,0.043425869021130874,0.7484886180745212,0.0014375465605930423,0.0004337995544974566,0.0018858061002404141,0.3118226233051178,0.23770181864944917,-0.0179323592412043,0.01013494321507145,0.0831899514593159
no_outcome_pmm,30,-0.030827230439541668,0.04919699335453431,0.5317412919593152,0.0014299275224617857,0.0009584677090299748,0.002420344155126093,0.6926341490086088,0.40920487715215415,-0.0827107509731646,-0.029636820495341602,0.0380321350482665
country_dummies_pmm,30,0.25162244226462555,0.08957350459512738,0.0052547236920821305,0.005681395412736029,0.002266468367145751,0.008023412725453306,0.4122257196651297,0.2918978984201461,0.1507194862296352,0.25988842538020795,0.358201136167489
lagged_predictors_pmm,30,-0.047222155993128276,0.05664016147234467,0.4048261294020823,0.0024448317681264133,0.000738654313051804,0.0032081078916132775,0.3121998549911668,0.2379209644046702,-0.1181082597937892,-0.045784729281166295,0.0139456344147345
baseline_pmm_m50,50,0.012186332588070479,0.04322094396269531,0.7780477090486391,0.0014177343280198727,0.0004414859500064464,0.001868049997026448,0.31763050390091363,0.24106189327019376,-0.0363292353856595,0.01013494321507145,0.0831899514593159
