variable,target_mean,complete_case_mean,ipw_weighted_mean,complete_minus_target,ipw_minus_target
unmet_need_pc,3.284703947368421,2.625886524822695,2.630574688182246,-0.658817422545726,-0.6541292591861749
gdp_per_capita_eur,31191.82119205298,36851.382978723406,36807.529377153754,5659.561786670427,5615.708185100775
unemployment_rate_pc,8.64658273381295,6.863829787234042,6.875920640595976,-1.782752946578908,-1.7706620932169743
poverty_or_social_exclusion_pc,22.832533333333334,20.99964539007092,21.013052827919022,-1.8328879432624134,-1.8194805054143117
