variant,term,coef,se,statistic,df,p_value,imputations,mean_nobs,mean_countries
baseline,compulsory_health_financing_gdp_pc,0.03677451071861389,0.06478326556632469,0.5676544767716962,90.00125198083973,0.5716829526203799,30,608.0,37.0
baseline,government_health_expenditure_gdp_pc,-0.04409358935901561,0.09191849124378115,-0.4797031452798004,124.24478118006954,0.6322818577678686,30,608.0,37.0
baseline,log_gdp_per_capita,-2.458775365335516,1.7524604213419606,-1.4030418806563913,1265.9191733774896,0.16084956343279289,30,608.0,37.0
baseline,poverty_or_social_exclusion_pc,-0.018404171684578367,0.012078530918061131,-1.523709448560375,574.6104813983496,0.12813145491897848,30,608.0,37.0
baseline,unemployment_rate_pc,0.011021742670998941,0.03684117623521899,0.2991691307744541,381.203239501255,0.764974036096167,30,608.0,37.0
