geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,physicians_per_100k,hospital_beds_per_100k,oop_health_expenditure_share_pc,gini_income,long_term_unemployment_rate_pc,log_gdp_per_capita,log_oop_health_expenditure_share,gdp_per_capita_eur_lag1,unemployment_rate_pc_lag1,poverty_or_social_exclusion_pc_lag1,physicians_per_100k_lag1,gdp_per_capita_growth,unemployment_rate_change,split
MT,2019,0.0,n,28920.0,4.1,20.7,5.1,5.56,402.65,410.39,34.13,28.0,1.0,10.2722886762727,3.559055466277736,28240.0,4.0,19.2,390.49,0.0240793201133144,0.0999999999999996,valid
NL,2019,0.2,,47840.0,4.4,16.5,7.2,8.23,375.45,302.1,10.42,26.8,0.9,10.775617388624513,2.435366204227864,45690.0,4.9,16.5,366.15,0.0470562486320857,-0.5,valid
NO,2019,1.0,,70860.0,3.9,15.6,7.4,8.95,457.79,348.16,13.92,25.4,1.1,11.168461378419464,2.702702594775615,72510.0,4.0,15.8,445.18,-0.0227554820024824,-0.1,valid
PL,2019,4.2,,14190.0,3.3,17.9,4.8,4.59,330.17,617.45,20.09,28.5,0.7,9.560292770154089,3.0487989944906837,13280.0,3.9,18.2,235.78,0.0685240963855421,-0.6000000000000001,valid
RO,2019,4.9,,11520.0,4.9,36.1,5.0,4.61,318.67,705.75,18.88,34.8,2.0,9.351839934249885,2.989714201228428,10510.0,5.3,38.7,305.61,0.0960989533777355,-0.3999999999999994,valid
SE,2019,1.4,,46110.0,6.9,18.4,7.2,9.3,428.79,207.03,13.92,27.6,0.8,10.738785125200751,2.702702594775615,45770.0,6.5,17.7,429.88,0.0074284465807297,0.4000000000000003,valid
SI,2019,2.9,,23050.0,4.4,13.7,6.7,6.23,326.19,443.21,11.66,23.9,1.9,10.045421048424794,2.5384474167160302,21940.0,5.1,15.4,316.74,0.0505925250683682,-0.6999999999999993,valid
AT,2020,0.1,,42650.0,6.0,16.7,9.2,8.72,531.82,705.1,17.17,27.0,1.7,10.660782552919825,2.89977188240808,44570.0,4.8,16.5,529.14,-0.0430783037917881,1.2000000000000002,valid
BE,2020,1.5,,40190.0,5.8,20.3,8.6,8.72,321.43,553.33,19.3,25.3,2.1,10.601373487443247,3.0106208860477417,41730.0,5.5,20.1,316.33,-0.0369039060627845,0.2999999999999998,valid
BG,2020,1.4,,9440.0,6.1,33.5,5.8,5.33,452.72,827.64,35.53,40.0,2.8,9.152711259139547,3.5981338408071912,9250.0,5.2,33.2,446.58,0.0205405405405405,0.8999999999999995,valid
CH,2020,0.5,,76710.0,4.8,18.5,2.5,8.18,438.88,448.07,20.72,31.2,1.5,11.247787356953342,3.078233495065734,76680.0,4.4,19.3,434.97,0.0003912363067292,0.3999999999999994,valid
CY,2020,0.4,,24630.0,7.6,18.2,5.8,6.19,462.96,314.27,21.37,29.3,2.2,10.111720491114584,3.107720775502038,26110.0,7.2,18.9,420.39,-0.0566832631175794,0.3999999999999994,valid
CZ,2020,0.4,,20980.0,2.6,11.5,9.2,7.92,413.52,660.63,11.08,24.2,0.6,9.951324881950288,2.4915511925066687,21740.0,2.0,12.1,406.67,-0.0349586016559337,0.6000000000000001,valid
DE,2020,0.1,b,42020.0,3.6,20.4,8.3,10.69,446.79,781.82,11.34,30.5,1.1,10.645900974398993,2.5128460184772416,43030.0,2.9,17.3,439.39,-0.0234719962816639,0.7000000000000002,valid
DK,2020,1.7,,53540.0,5.6,16.8,9.3,9.02,437.66,248.4,13.38,27.3,0.9,10.888184317074344,2.665838352292901,53040.0,5.0,17.3,425.13,0.0094268476621417,0.5999999999999996,valid
EE,2020,13.0,,20960.0,6.9,22.8,6.5,5.76,347.94,446.33,21.43,30.5,1.2,9.950371138434978,3.110399348532117,21490.0,4.5,23.7,346.9,-0.0246626337831549,2.4000000000000004,valid
ES,2020,0.4,,23850.0,15.5,27.0,7.6,7.78,456.65,295.56,21.66,32.1,5.0,10.079539496316489,3.12060125559986,26620.0,14.1,26.2,440.52,-0.1040570999248685,1.4000000000000004,valid
FI,2020,5.4,,42740.0,7.7,14.9,7.7,7.67,285.59,274.69,16.47,26.5,1.5,10.662890528873138,2.860485124145965,43200.0,6.8,14.5,281.55,-0.0106481481481481,0.9000000000000004,valid
FR,2020,2.7,b,34280.0,8.0,19.0,9.0,10.22,374.05,570.96,9.42,29.2,1.9,10.442317372711717,2.343727036325221,36090.0,8.4,18.8,316.38,-0.0501523967858132,-0.4000000000000003,valid
HR,2020,1.5,,12980.0,7.4,20.5,8.7,6.47,364.3,585.78,10.45,28.3,2.1,9.471164990258082,2.4379897300002487,14130.0,6.6,20.8,362.23,-0.0813871196036801,0.8000000000000007,valid
HU,2020,0.7,,14370.0,4.1,19.4,6.3,5.12,316.53,681.31,26.15,28.2,1.1,9.57289797907307,3.3013770463799443,15200.0,3.3,21.1,352.12,-0.0546052631578947,0.7999999999999998,valid
IE,2020,1.8,b,75820.0,5.9,19.1,5.6,5.42,341.9,285.97,11.44,27.6,1.4,11.236117389070326,2.5209170873110334,73230.0,5.0,20.2,328.87,0.0353680185716236,0.9000000000000004,valid
IS,2020,2.8,,54190.0,5.5,11.7,8.5,7.9,431.97,284.07,14.87,24.0,0.5,10.90025166856016,2.7644305345383176,63430.0,3.5,11.6,389.39,-0.1456723947658836,2.0,valid
LT,2020,1.7,,17890.0,8.5,24.5,5.9,5.2,445.81,597.86,28.66,35.1,2.5,9.791997176502765,3.389799336709786,17520.0,6.3,25.5,454.2,0.0211187214611872,2.2,valid
LU,2020,0.1,b,102190.0,6.8,19.9,5.8,4.99,370.55,419.4,8.39,31.2,1.7,11.534589104606257,2.239645293220172,100420.0,5.6,20.1,363.23,0.017625970922127,1.2000000000000002,valid
LV,2020,5.3,,15370.0,8.1,25.1,4.8,4.77,333.92,528.56,31.87,34.5,2.4,9.640172836532642,3.492560387676128,15450.0,6.3,26.7,326.73,-0.005177993527508,1.7999999999999998,valid
MT,2020,0.0,n,27870.0,4.9,19.9,6.6,6.57,418.63,438.22,30.3,30.3,1.3,10.235306120475991,3.4436180975461075,28920.0,4.1,20.7,402.65,-0.0363070539419087,0.8000000000000007,valid
NL,2020,0.2,,46810.0,4.9,16.0,8.1,9.3,384.71,291.13,9.28,28.2,0.7,10.753852134294116,2.330200260027019,47840.0,4.4,16.5,375.45,-0.0215301003344481,0.5,valid
NO,2020,0.9,,62400.0,4.7,16.3,8.2,9.82,468.17,340.16,13.79,25.3,1.2,11.04132055435752,2.6939512767227085,70860.0,3.9,15.6,457.79,-0.1193903471634208,0.8000000000000003,valid
PL,2020,1.9,,14310.0,3.2,17.0,5.3,4.64,336.03,625.38,19.53,27.2,0.6,9.568713872550497,3.0218872310308424,14190.0,3.3,17.9,330.17,0.0084566596194503,-0.0999999999999996,valid
RO,2020,4.7,,11390.0,6.1,35.6,5.5,5.01,332.86,712.12,19.03,33.8,1.8,9.340491056441229,2.997231149677727,11520.0,4.9,36.1,318.67,-0.0112847222222222,1.1999999999999993,valid
SE,2020,1.5,,46180.0,8.5,17.7,7.5,9.85,432.21,204.61,12.92,26.9,1.0,10.740302082908489,2.633326654906273,46110.0,6.9,18.4,428.79,0.0015181088700932,1.5999999999999996,valid
SI,2020,2.7,,22230.0,5.0,14.3,8.0,6.94,330.29,427.79,12.47,23.5,1.9,10.009198006958242,2.6004649904222727,23050.0,4.4,13.7,326.19,-0.0355748373101952,0.5999999999999996,valid
AT,2021,0.3,,45380.0,6.2,17.3,10.1,9.47,540.91,691.47,16.03,26.7,2.0,10.722826758333833,2.834976494674597,42650.0,6.0,16.7,531.82,0.0640093786635404,0.2000000000000001,test
BE,2021,1.7,,43680.0,6.3,19.0,8.4,8.48,324.78,549.22,20.34,24.1,2.6,10.684645610418787,3.060583245873607,40190.0,5.8,20.3,321.43,0.0868375217715849,0.5,test
BG,2021,1.0,,10960.0,5.2,31.7,5.8,5.58,454.0,837.38,33.73,39.7,2.6,9.302007560502007,3.5476038667559826,9440.0,6.1,33.5,452.72,0.1610169491525423,-0.8999999999999995,test
CH,2021,0.5,,81610.0,5.1,17.6,2.7,7.95,443.6,443.35,21.36,31.4,1.9,11.309707082463287,3.1072736482868986,76710.0,4.8,18.5,438.88,0.0638769391213661,0.2999999999999998,test
CY,2021,0.2,,27850.0,7.2,17.3,6.5,7.01,490.81,311.21,16.23,29.3,2.5,10.23458824535543,2.8466520505398383,24630.0,7.6,18.2,462.96,0.1307348761672757,-0.3999999999999994,test
CZ,2021,0.3,,23430.0,2.8,10.7,9.5,7.94,425.59,666.58,12.48,24.8,0.8,10.06177253150184,2.601207105484161,20980.0,2.6,11.5,413.52,0.1167778836987607,0.1999999999999997,test
DE,2021,0.1,,44910.0,3.6,21.0,8.5,10.91,452.97,776.02,11.36,31.2,1.2,10.712415766081785,2.514465452029545,42020.0,3.6,20.4,446.79,0.0687767729652546,0.0,test
DK,2021,1.3,,58640.0,5.1,17.3,9.4,9.06,449.81,240.94,13.3,27.0,1.0,10.979172336560532,2.660259537265861,53540.0,5.6,16.8,437.66,0.0952558834516249,-0.5,test
EE,2021,8.1,,23650.0,6.2,22.2,6.5,5.69,343.22,439.47,22.15,30.6,1.6,10.07111839392008,3.1419947805322432,20960.0,6.9,22.8,347.94,0.1283396946564885,-0.7000000000000002,test
ES,2021,1.1,,26090.0,14.9,27.8,7.2,7.51,448.67,295.92,21.3,33.0,6.2,10.169307378130776,3.104586678466073,23850.0,15.5,27.0,456.65,0.0939203354297694,-0.5999999999999996,test
FI,2021,4.4,,44890.0,7.7,14.2,7.8,7.84,285.47,278.94,16.66,25.7,1.8,10.711970331775978,2.8713021951758138,42740.0,7.7,14.9,285.59,0.0503041647168928,0.0,test
FR,2021,2.8,,36920.0,7.9,19.0,9.4,10.36,378.27,560.46,9.17,29.3,2.3,10.516508688616788,2.3194422100604686,34280.0,8.0,19.0,374.05,0.0770128354725787,-0.0999999999999996,test
HR,2021,1.7,,15070.0,7.5,20.9,8.4,6.91,377.96,578.03,9.4,29.2,2.7,9.620461291620542,2.341805806147327,12980.0,7.4,20.5,364.3,0.1610169491525423,0.0999999999999996,test
HU,2021,1.1,,16090.0,4.0,19.6,5.9,5.31,332.53,684.12,24.64,27.4,1.3,9.685953239986429,3.2441536320524693,14370.0,4.1,19.4,316.53,0.1196938065414057,-0.0999999999999996,test
IE,2021,2.1,,88070.0,6.2,19.6,5.1,4.95,396.35,285.04,11.53,26.6,1.8,11.385887231799504,2.528125768907977,75820.0,5.9,19.1,341.9,0.1615668689000264,0.2999999999999998,test
IT,2021,1.8,,31160.0,9.5,25.2,7.4,6.92,529.31,312.39,22.81,32.9,5.4,10.346890499984683,3.170105660498771,30200.0,9.9,24.6,405.07,0.0317880794701986,-0.4000000000000003,test
LT,2021,2.4,,20190.0,7.1,23.5,5.8,5.32,446.27,603.8,29.93,35.4,2.6,9.912942711306885,3.4317265866969784,17890.0,8.5,24.5,445.81,0.1285634432643935,-1.4000000000000004,test
LU,2021,1.0,b,113920.0,5.3,21.1,5.4,4.83,379.81,414.33,8.8,29.6,1.8,11.643251726645802,2.2823823856765264,102190.0,6.8,19.9,370.55,0.1147861826010372,-1.5,test
LV,2021,4.0,,17130.0,7.6,26.1,6.5,6.54,335.79,516.43,26.98,35.7,2.3,9.748586591318166,3.331489969237335,15370.0,8.1,25.1,333.92,0.1145087833441769,-0.5,test
MT,2021,0.1,,32190.0,3.8,20.3,6.1,6.42,434.62,414.75,29.67,31.2,1.0,10.379411124292854,3.4232849781261603,27870.0,4.9,19.9,418.63,0.155005382131324,-1.1000000000000003,test
NL,2021,0.2,,50850.0,4.2,16.6,8.3,9.33,391.81,295.23,10.91,26.4,0.8,10.836635401476704,2.477378383367209,46810.0,4.9,16.0,384.71,0.08630634479812,-0.7000000000000002,test
NO,2021,0.8,b,81520.0,4.4,16.7,7.3,8.43,476.78,339.98,13.85,25.9,1.0,11.308603667896609,2.6979998652487085,62400.0,4.7,16.3,468.17,0.3064102564102564,-0.2999999999999998,test
PL,2021,2.7,,15770.0,3.4,16.8,5.7,4.61,351.24,640.17,19.85,26.8,0.9,9.665864679957084,3.03735394824481,14310.0,3.2,17.0,336.03,0.1020265548567435,0.1999999999999997,test
RO,2021,4.4,,12590.0,5.6,34.4,5.5,5.08,350.88,720.56,20.94,34.3,2.0,9.440658127038391,3.088311454847084,11390.0,6.1,35.6,332.86,0.1053555750658472,-0.5,test
SE,2021,1.3,,51260.0,8.9,17.2,7.5,9.72,440.83,200.23,13.09,26.8,1.8,10.844665999918062,2.645465325910589,46180.0,8.5,17.7,432.21,0.1100043308791684,0.4000000000000003,test
SI,2021,4.8,,24690.0,4.8,13.2,8.3,7.03,334.38,424.94,12.88,23.0,1.9,10.114153582339226,2.6304489550786583,22230.0,5.0,14.3,330.29,0.1106612685560054,-0.2000000000000001,test
AT,2022,0.5,,49640.0,4.8,17.5,9.4,8.64,544.6,671.75,16.29,27.8,1.2,10.812552239318544,2.850128299695199,45380.0,6.2,17.3,540.91,0.0938739532833847,-1.4000000000000004,test
BE,2022,1.0,,48090.0,5.6,18.6,7.8,7.96,326.36,544.27,21.41,24.7,2.3,10.780829534271708,3.109507287812836,43680.0,6.3,19.0,324.78,0.1009615384615384,-0.7000000000000002,test
BG,2022,1.0,,13310.0,4.2,32.2,5.5,4.85,456.88,846.19,35.08,38.4,2.2,9.496270911389155,3.585738695194423,10960.0,5.2,31.7,454.0,0.2144160583941605,-1.0,test
CH,2022,0.8,,92900.0,4.1,18.7,2.2,7.65,448.46,442.07,21.74,31.0,1.5,11.439278924801927,3.12412548832239,81610.0,5.1,17.6,443.6,0.1383408895968631,-1.0,test
CY,2022,0.2,,31560.0,6.3,17.5,5.9,6.31,510.85,308.23,18.04,29.0,2.1,10.35964577495981,2.9465420293632194,27850.0,7.2,17.3,490.81,0.1332136445242369,-0.9000000000000004,test
CZ,2022,0.2,,26670.0,2.2,11.8,8.8,7.2,422.17,654.24,14.29,24.8,0.6,10.19129461717606,2.727199019940971,23430.0,2.8,10.7,425.59,0.1382842509603073,-0.5999999999999996,test
DE,2022,0.3,,48340.0,3.1,21.1,8.3,10.7,458.35,771.97,10.43,29.0,1.1,10.786014654257476,2.4362414778067194,44910.0,3.6,21.0,452.97,0.0763749721665553,-0.5,test
DK,2022,2.1,,64430.0,4.5,17.1,8.3,8.04,448.01,237.5,13.19,27.7,0.5,11.073334642132687,2.6525374911719517,58640.0,5.1,17.3,449.81,0.098738062755798,-0.5999999999999996,test
EE,2022,9.1,,27260.0,5.6,25.2,5.9,5.21,347.19,419.1,23.14,31.9,1.3,10.213175705250524,3.1838702156693857,23650.0,6.2,22.2,343.22,0.1526427061310782,-0.6000000000000005,test
ES,2022,1.2,,28790.0,13.0,26.0,6.8,7.05,433.11,294.13,21.03,32.0,5.1,10.267783383606222,3.092405160814252,26090.0,14.9,27.8,448.67,0.1034879264085856,-1.9000000000000004,test
FI,2022,6.5,,47890.0,6.8,16.3,7.5,7.75,287.23,261.51,16.1,26.6,1.5,10.776661993336656,2.8390784635086144,44890.0,7.7,14.2,285.47,0.0668300289596792,-0.9000000000000004,test
FR,2022,3.2,b,38920.0,7.3,20.7,9.1,10.0,382.48,548.33,9.25,29.8,2.0,10.56926353629994,2.327277705584417,36920.0,7.9,19.0,378.27,0.0541711809317443,-0.6000000000000005,test
HR,2022,1.3,,17540.0,6.8,19.9,7.8,6.23,396.0,583.78,9.19,28.5,2.4,9.772239265926174,2.321406847234633,15070.0,7.5,20.9,377.96,0.1639017916390179,-0.7000000000000002,test
HU,2022,1.4,,17550.0,3.6,18.8,5.1,4.87,348.49,668.04,24.01,26.9,1.2,9.772809228894012,3.219275744889528,16090.0,4.0,19.6,332.53,0.0907395898073337,-0.3999999999999999,test
IE,2022,2.7,,100140.0,4.5,19.6,4.7,4.61,329.57,287.92,11.55,26.9,1.3,11.514324485883936,2.529720665577793,88070.0,6.2,19.6,396.35,0.1370500738049279,-1.7000000000000002,test
IT,2022,1.8,,33860.0,8.1,24.4,6.9,6.52,536.52,308.76,23.32,32.7,4.6,10.429989655687129,3.1912990570979662,31160.0,9.5,25.2,529.31,0.0866495507060333,-1.4000000000000004,test
LT,2022,2.9,,23690.0,6.0,24.6,5.2,4.85,444.27,568.05,31.8,36.2,2.3,10.07280829715283,3.490428515390098,20190.0,7.1,23.5,446.27,0.1733531451213472,-1.0999999999999996,test
LU,2022,0.5,b,117100.0,4.6,19.4,5.4,4.83,390.6,399.48,8.67,29.1,1.3,11.670783549585808,2.269028309465203,113920.0,5.3,21.1,379.81,0.0279143258426966,-0.7000000000000002,test
LV,2022,5.4,,19130.0,6.9,26.0,5.6,5.26,340.06,502.88,30.74,34.3,2.0,9.8590130624343,3.457577715098263,17130.0,7.6,26.1,335.79,0.1167542323409223,-0.6999999999999993,test
MT,2022,0.3,,33810.0,3.5,20.1,5.5,6.19,448.87,406.32,30.02,31.1,1.2,10.428511895701932,3.4346321577483927,32190.0,3.8,20.3,434.62,0.0503261882572227,-0.2999999999999998,test
NL,2022,0.2,,56140.0,3.5,16.5,7.2,8.31,394.04,244.93,11.93,26.3,0.7,10.935603849915871,2.559550192783766,50850.0,4.2,16.6,391.81,0.1040314650934119,-0.7000000000000002,test
NO,2022,1.2,,107660.0,3.2,16.3,5.8,6.78,490.79,334.83,14.08,27.5,0.6,11.58673339211495,2.71336936257981,81520.0,4.4,16.7,476.78,0.320657507360157,-1.2000000000000002,test
PL,2022,2.3,,17520.0,2.9,15.9,5.2,4.8,356.92,629.49,18.43,26.3,0.9,9.771098364490385,2.9668182633893485,15770.0,3.4,16.8,351.24,0.1109701965757768,-0.5,test
RO,2022,4.9,,14740.0,5.6,34.4,5.0,4.53,364.79,727.71,21.42,32.0,2.2,9.598320165743328,3.109953417644014,12590.0,5.6,34.4,350.88,0.17077045274027,0.0,test
SE,2022,1.8,,51980.0,7.5,18.6,7.2,9.4,447.39,189.96,13.13,27.6,1.9,10.85861430819548,2.6483001966964363,51260.0,8.9,17.2,440.83,0.0140460397971127,-1.4000000000000004,test
SI,2022,3.7,,26970.0,4.0,13.3,7.7,7.12,337.01,412.11,12.43,23.1,1.6,10.202480416133776,2.5974910105351463,24690.0,4.8,13.2,334.38,0.0923450789793438,-0.7999999999999998,test
AT,2023,0.6,,52330.0,5.1,17.7,9.0,8.47,551.44,660.4,16.48,28.1,1.1,10.865325099366254,2.8610573702273894,49640.0,4.8,17.5,544.6,0.0541901692183722,0.2999999999999998,test
BE,2023,1.1,,51090.0,5.5,18.8,7.8,7.87,337.21,539.11,21.51,24.3,2.2,10.841344062324843,3.113959654918641,48090.0,5.6,18.6,326.36,0.0623830318153462,-0.0999999999999996,test
BG,2023,1.1,,14660.0,4.3,30.0,5.4,5.0,462.97,864.39,35.5,37.2,2.3,9.592877975440642,3.597312260588446,13310.0,4.2,32.2,456.88,0.1014274981217129,0.0999999999999996,test
CH,2023,1.3,,96280.0,4.1,19.5,2.2,7.6,454.95,436.64,22.03,31.5,1.3,11.475015891897009,3.136797713832594,92900.0,4.1,18.7,448.46,0.0363832077502691,0.0,test
CY,2023,0.1,,33870.0,5.8,17.4,6.0,6.03,534.5,298.21,17.94,29.3,1.8,10.430284945811817,2.9412760877579323,31560.0,6.3,17.5,510.85,0.0731939163498098,-0.5,test
CZ,2023,0.4,,29330.0,2.6,12.0,8.8,7.08,421.76,640.65,14.6,24.4,0.8,10.286366161971497,2.747270914255491,26670.0,2.2,11.8,422.17,0.0997375328083989,0.3999999999999999,test
DE,2023,0.2,e,50660.0,3.1,21.3,7.4,10.01,466.27,766.45,11.05,29.4,1.0,10.832891923555666,2.489064659936664,48340.0,3.1,21.1,458.35,0.0479933802234174,0.0,test
DK,2023,2.7,,62910.0,5.1,17.9,8.3,7.97,453.04,232.81,13.98,28.2,0.5,11.049460412564075,2.7067159780890733,64430.0,4.5,17.1,448.01,-0.0235914946453515,0.5999999999999996,test
EE,2023,12.9,,28080.0,6.4,24.2,6.2,5.64,348.25,411.59,22.1,31.8,1.3,10.242812858139748,3.139832617527748,27260.0,5.6,25.2,347.19,0.0300807043286867,0.8000000000000007,test
ES,2023,1.8,,30980.0,12.2,26.5,6.6,6.75,438.86,288.06,20.86,31.5,4.3,10.34109711397086,3.0846584827483925,28790.0,13.0,26.0,433.11,0.0760680791941646,-0.8000000000000007,test
FI,2023,7.9,,48950.0,7.2,15.8,7.6,8.48,288.36,259.51,14.09,26.6,1.6,10.798554647958657,2.714032272779757,47890.0,6.8,16.3,287.23,0.0221340572144497,0.4000000000000003,test
FR,2023,3.7,,41340.0,7.3,20.4,8.8,9.71,389.6,540.22,9.26,29.7,1.8,10.62958583323576,2.3282528397426234,38920.0,7.3,20.7,382.48,0.0621788283658787,0.0,test
HR,2023,1.0,b,20530.0,6.1,20.7,7.7,5.98,401.41,565.45,9.38,29.7,2.1,9.92964251001298,2.3398808777377424,17540.0,6.8,19.9,396.0,0.1704675028506271,-0.7000000000000002,test
HU,2023,1.0,,20540.0,4.1,19.7,4.7,4.71,362.2,650.85,23.06,28.6,1.4,9.930129483482547,3.180550710546533,17550.0,3.6,18.8,348.49,0.1703703703703703,0.4999999999999995,test
IE,2023,2.7,,99080.0,4.3,19.2,5.4,4.89,379.08,289.41,11.3,27.4,1.1,11.503682883603297,2.509599262378372,100140.0,4.5,19.6,329.57,-0.0105851807469542,-0.2000000000000001,test
IT,2023,1.8,,36330.0,7.7,22.8,6.5,6.11,535.26,304.1,23.65,31.5,4.2,10.500399125215248,3.204776900488699,33860.0,8.1,24.4,536.52,0.0729474305965741,-0.3999999999999994,test
LT,2023,3.8,,25880.0,6.9,24.3,5.2,4.89,461.63,548.37,31.02,35.7,2.3,10.161225748614838,3.4663607075685685,23690.0,6.0,24.6,444.27,0.0924440692275221,0.9000000000000004,test
LU,2023,0.8,,122970.0,5.2,21.4,5.4,4.78,400.34,393.89,8.77,30.6,1.7,11.719695702166494,2.2793164660546914,117100.0,4.6,19.4,390.6,0.050128095644748,0.6000000000000005,test
LV,2023,7.8,,21030.0,6.5,25.6,5.4,4.32,336.04,495.99,35.06,34.0,1.8,9.953705268696746,3.585184217775171,19130.0,6.9,26.0,340.06,0.0993204391008886,-0.4000000000000003,test
MT,2023,0.1,,37800.0,3.5,19.8,5.0,5.73,455.0,397.29,30.93,33.0,0.8,10.54006438160768,3.4635460067266908,33810.0,3.5,20.1,448.87,0.1180124223602484,0.0,test
NL,2023,0.3,,58740.0,3.6,15.8,7.1,8.27,391.48,231.08,12.03,26.5,0.5,10.980876204752612,2.567254391136754,56140.0,3.5,16.5,394.04,0.046312789454934,0.1,test
PL,2023,3.6,,19980.0,2.8,16.3,5.7,5.54,385.56,627.1,15.85,27.0,0.8,9.902487052202543,2.8243506567983707,17520.0,2.9,15.9,356.92,0.1404109589041096,-0.1,test
RO,2023,5.2,,16870.0,5.6,32.0,4.8,4.39,372.3,728.43,22.96,31.0,2.2,9.733292175540011,3.1763857732472487,14740.0,5.6,34.4,364.79,0.1445047489823609,0.0,test
SI,2023,3.8,,30200.0,3.7,13.7,7.3,6.83,350.4,404.77,12.39,23.4,1.4,10.31559720336296,2.594508159703081,26970.0,4.0,13.3,337.01,0.1197626992955135,-0.2999999999999998,test
