geo,year,unmet_need_pc,log_gdp_per_capita,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,lag1_unmet_need_pc,lag1_log_gdp_per_capita,lag1_unemployment_rate_pc,lag1_poverty_or_social_exclusion_pc,lag1_government_health_expenditure_gdp_pc,lag1_compulsory_health_financing_gdp_pc,time_split
IT,2022,1.8,10.429989655687129,8.1,24.4,6.9,6.52,1.8,10.346890499984683,9.5,25.2,7.4,6.92,test
LT,2022,2.9,10.07280829715283,6.0,24.6,5.2,4.85,2.4,9.912942711306885,7.1,23.5,5.8,5.32,test
LU,2022,0.5,11.670783549585808,4.6,19.4,5.4,4.83,1.0,11.643251726645802,5.3,21.1,5.4,4.83,test
LV,2022,5.4,9.8590130624343,6.9,26.0,5.6,5.26,4.0,9.748586591318166,7.6,26.1,6.5,6.54,test
MT,2022,0.3,10.428511895701932,3.5,20.1,5.5,6.19,0.1,10.379411124292854,3.8,20.3,6.1,6.42,test
NL,2022,0.2,10.935603849915871,3.5,16.5,7.2,8.31,0.2,10.836635401476704,4.2,16.6,8.3,9.33,test
NO,2022,1.2,11.58673339211495,3.2,16.3,5.8,6.78,0.8,11.308603667896609,4.4,16.7,7.3,8.43,test
PL,2022,2.3,9.771098364490385,2.9,15.9,5.2,4.8,2.7,9.665864679957084,3.4,16.8,5.7,4.61,test
PT,2022,2.9,10.056208639553793,6.2,20.1,7.1,6.58,2.3,9.94270826568941,6.7,22.4,7.6,7.02,test
RO,2022,4.9,9.598320165743328,5.6,34.4,5.0,4.53,4.4,9.440658127038391,5.6,34.4,5.5,5.08,test
SE,2022,1.8,10.85861430819548,7.5,18.6,7.2,9.4,1.3,10.844665999918062,8.9,17.2,7.5,9.72,test
SI,2022,3.7,10.202480416133776,4.0,13.3,7.7,7.12,4.8,10.114153582339226,4.8,13.2,8.3,7.03,test
SK,2022,2.8,9.91095956737483,6.1,16.5,6.9,6.16,2.9,9.837881795438134,6.8,15.6,6.5,6.09,test
AT,2023,0.6,10.865325099366254,5.1,17.7,9.0,8.47,0.5,10.812552239318544,4.8,17.5,9.4,8.64,test
BE,2023,1.1,10.841344062324843,5.5,18.8,7.8,7.87,1.0,10.780829534271708,5.6,18.6,7.8,7.96,test
BG,2023,1.1,9.592877975440642,4.3,30.0,5.4,5.0,1.0,9.496270911389155,4.2,32.2,5.5,4.85,test
CH,2023,1.3,11.475015891897009,4.1,19.5,2.2,7.6,0.8,11.439278924801927,4.1,18.7,2.2,7.65,test
CY,2023,0.1,10.430284945811817,5.8,17.4,6.0,6.03,0.2,10.35964577495981,6.3,17.5,5.9,6.31,test
CZ,2023,0.4,10.286366161971497,2.6,12.0,8.8,7.08,0.2,10.19129461717606,2.2,11.8,8.8,7.2,test
DE,2023,0.2,10.832891923555666,3.1,21.3,7.4,10.01,0.3,10.786014654257476,3.1,21.1,8.3,10.7,test
DK,2023,2.7,11.049460412564075,5.1,17.9,8.3,7.97,2.1,11.073334642132687,4.5,17.1,8.3,8.04,test
EE,2023,12.9,10.242812858139748,6.4,24.2,6.2,5.64,9.1,10.213175705250524,5.6,25.2,5.9,5.21,test
EL,2023,11.6,9.966462351697515,11.1,26.1,5.9,5.12,9.0,9.88175306039012,12.5,26.3,6.2,5.26,test
ES,2023,1.8,10.34109711397086,12.2,26.5,6.6,6.75,1.2,10.267783383606222,13.0,26.0,6.8,7.05,test
FI,2023,7.9,10.798554647958657,7.2,15.8,7.6,8.48,6.5,10.776661993336656,6.8,16.3,7.5,7.75,test
FR,2023,3.7,10.62958583323576,7.3,20.4,8.8,9.71,3.2,10.56926353629994,7.3,20.7,9.1,10.0,test
HR,2023,1.0,9.92964251001298,6.1,20.7,7.7,5.98,1.3,9.772239265926174,6.8,19.9,7.8,6.23,test
HU,2023,1.0,9.930129483482547,4.1,19.7,4.7,4.71,1.4,9.772809228894012,3.6,18.8,5.1,4.87,test
IE,2023,2.7,11.503682883603297,4.3,19.2,5.4,4.89,2.7,11.514324485883936,4.5,19.6,4.7,4.61,test
IT,2023,1.8,10.500399125215248,7.7,22.8,6.5,6.11,1.8,10.429989655687129,8.1,24.4,6.9,6.52,test
LT,2023,3.8,10.161225748614838,6.9,24.3,5.2,4.89,2.9,10.07280829715283,6.0,24.6,5.2,4.85,test
LU,2023,0.8,11.719695702166494,5.2,21.4,5.4,4.78,0.5,11.670783549585808,4.6,19.4,5.4,4.83,test
LV,2023,7.8,9.953705268696746,6.5,25.6,5.4,4.32,5.4,9.8590130624343,6.9,26.0,5.6,5.26,test
MT,2023,0.1,10.54006438160768,3.5,19.8,5.0,5.73,0.3,10.428511895701932,3.5,20.1,5.5,6.19,test
NL,2023,0.3,10.980876204752612,3.6,15.8,7.1,8.27,0.2,10.935603849915871,3.5,16.5,7.2,8.31,test
NO,2023,1.8,11.339999629816637,3.6,15.8,7.0,,1.2,11.58673339211495,3.2,16.3,5.8,6.78,test
PL,2023,3.6,9.902487052202543,2.8,16.3,5.7,5.54,2.3,9.771098364490385,2.9,15.9,5.2,4.8,test
PT,2023,2.8,10.14878390849147,6.5,20.1,6.7,6.11,2.9,10.056208639553793,6.2,20.1,7.1,6.58,test
RO,2023,5.2,9.733292175540011,5.6,32.0,4.8,4.39,4.9,9.598320165743328,5.6,34.4,5.0,4.53,test
SE,2023,2.1,10.829530575852962,7.7,18.4,7.4,9.71,1.8,10.85861430819548,7.5,18.6,7.2,9.4,test
SI,2023,3.8,10.31559720336296,3.7,13.7,7.3,6.83,3.7,10.202480416133776,4.0,13.3,7.7,7.12,test
SK,2023,3.2,10.02747353231712,5.8,17.6,6.6,5.82,2.8,9.91095956737483,6.1,16.5,6.9,6.16,test
