geo,year,unmet_need_pc,log_gdp_per_capita,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,lag1_unmet_need_pc,lag1_log_gdp_per_capita,lag1_unemployment_rate_pc,lag1_poverty_or_social_exclusion_pc,lag1_government_health_expenditure_gdp_pc,lag1_compulsory_health_financing_gdp_pc,time_split
IS,2017,3.5,11.095134707171429,2.7,12.6,7.5,6.74,2.9,10.966472663561088,3.0,11.8,7.2,6.57,train
IT,2017,1.8,10.277461993552922,11.3,25.9,6.8,6.37,5.5,10.252734980646064,11.7,27.8,6.8,6.45,train
LT,2017,1.5,9.6071010394542,7.1,29.8,4.6,4.28,3.1,9.509703949201802,7.9,30.0,4.8,4.43,train
LU,2017,0.3,11.486992082943724,5.5,19.3,5.0,4.31,0.4,11.474496438350446,6.3,19.1,4.8,4.24,train
LV,2017,6.2,9.503009985939002,8.7,28.5,3.6,3.55,8.2,9.433483923290392,9.7,28.2,3.8,3.55,train
MT,2017,0.2,10.196903156835669,4.0,19.4,4.9,5.23,1.0,10.081633737919605,4.7,20.2,5.2,5.48,train
NL,2017,0.1,10.688073793412856,5.9,16.6,7.2,8.12,0.2,10.652305930466534,7.0,16.3,7.1,8.22,train
NO,2017,1.3,11.154248518360824,4.4,15.4,7.2,8.71,1.1,11.100133581475603,4.9,14.4,7.4,8.99,train
PL,2017,3.3,9.422220731011684,5.0,18.7,4.7,4.53,6.6,9.329899607033822,6.3,20.6,4.6,4.53,train
PT,2017,2.3,9.847446161652504,9.2,23.4,6.3,5.71,2.4,9.798127036878302,11.5,24.9,6.1,5.8,train
RO,2017,4.7,9.160099155539436,6.1,42.5,4.4,4.08,6.5,9.047821442478408,7.2,46.0,4.1,3.98,train
SE,2017,1.4,10.762361013540332,6.8,17.2,7.1,9.27,1.6,10.753424783860265,7.1,17.7,7.1,9.23,train
SI,2017,3.5,9.934501606065297,6.6,16.6,6.6,5.96,0.4,9.871996885444757,8.0,16.9,6.8,6.23,train
SK,2017,2.4,9.656307423393676,8.1,15.8,5.6,5.38,2.3,9.61780348274702,9.6,17.1,5.7,5.58,train
AT,2018,0.1,10.677292636113528,5.2,16.8,8.3,7.78,0.2,10.63969422255652,5.9,17.1,8.3,7.74,train
BE,2018,1.8,10.60187099989132,6.0,20.5,7.6,8.32,2.2,10.570803973061553,7.2,22.0,7.6,8.31,train
BG,2018,1.9,9.028818495352793,6.2,33.0,5.0,4.35,2.1,8.951569643018821,7.2,38.0,4.9,4.22,train
CH,2018,0.7,11.206807830362765,4.7,17.8,2.1,7.35,0.4,11.211955498191513,4.8,18.3,2.1,7.63,train
CY,2018,1.4,10.112937776718336,8.4,19.1,2.6,2.85,1.5,10.053199825764455,11.1,21.4,2.5,2.75,train
CZ,2018,0.3,9.916897239446046,2.2,11.8,7.4,6.27,0.5,9.836278802842678,2.9,12.1,7.3,6.15,train
DE,2018,0.2,10.640651618512848,3.2,18.5,7.0,9.47,0.3,10.612261988981771,3.5,18.8,7.0,9.38,train
DK,2018,1.3,10.858036996527373,5.1,17.5,8.7,8.49,1.0,10.840756690795477,5.8,17.8,8.7,8.49,train
EE,2018,16.4,9.9054855551988,5.4,23.6,5.3,4.84,11.8,9.824444345195674,5.8,23.3,5.1,4.76,train
EL,2018,8.8,9.730918287184853,19.7,30.3,5.5,4.78,10.0,9.710509415553645,21.8,32.2,5.5,4.91,train
ES,2018,0.2,10.163926888594034,15.3,27.3,6.0,6.28,0.1,10.133010710814377,17.2,27.5,5.9,6.27,train
FI,2018,4.7,10.646376824990888,7.5,16.6,7.1,7.01,3.6,10.616192232311604,8.7,16.0,7.1,7.02,train
FR,2018,1.2,10.46538644648612,9.0,17.9,8.2,9.34,1.0,10.442609045456964,9.4,17.8,8.3,9.43,train
HR,2018,1.4,9.496270911389155,8.3,22.1,6.9,5.51,1.6,9.427868184504756,11.1,23.7,6.8,5.47,train
HU,2018,0.8,9.551800150108434,3.6,20.6,4.6,4.56,1.0,9.47883962501119,4.0,25.9,4.7,4.64,train
IE,2018,2.0,11.135026884579869,5.8,20.8,4.8,4.96,2.8,11.06601316694789,6.7,22.4,4.9,5.02,train
IS,2018,3.4,11.087206627834796,2.7,11.3,7.6,6.85,3.5,11.095134707171429,2.7,12.6,7.5,6.74,train
IT,2018,2.4,10.298565567757803,10.6,25.7,6.7,6.35,1.8,10.277461993552922,11.3,25.9,6.8,6.37,train
LT,2018,2.2,9.698920386794851,6.2,28.5,4.7,4.35,1.5,9.6071010394542,7.1,29.8,4.6,4.28,train
LU,2018,0.3,11.501561134891178,5.6,20.1,5.1,4.43,0.3,11.486992082943724,5.5,19.3,5.0,4.31,train
LV,2018,6.2,9.59014573330377,7.4,28.4,4.2,3.84,6.2,9.503009985939002,8.7,28.5,3.6,3.55,train
MT,2018,0.2,10.248494691607178,4.0,19.2,4.9,5.15,0.2,10.196903156835669,4.0,19.4,4.9,5.23,train
NL,2018,0.2,10.729634734557315,4.9,16.5,7.2,8.09,0.1,10.688073793412856,5.9,16.6,7.2,8.12,train
NO,2018,1.4,11.191479762365638,4.0,15.8,7.0,8.54,1.3,11.154248518360824,4.4,15.4,7.2,8.71,train
PL,2018,4.2,9.494014423030425,3.9,18.2,4.7,4.47,3.3,9.422220731011684,5.0,18.7,4.7,4.53,train
PT,2018,2.1,9.895455380838865,7.2,21.6,6.5,5.77,2.3,9.847446161652504,9.2,23.4,6.3,5.71,train
RO,2018,4.9,9.260082463870996,5.3,38.7,4.6,4.43,4.7,9.160099155539436,6.1,42.5,4.4,4.08,train
SE,2018,1.5,10.731384133647689,6.5,17.7,7.2,9.4,1.4,10.762361013540332,6.8,17.2,7.1,9.27,train
SI,2018,3.3,9.99606673382922,5.1,15.4,6.6,6.08,3.5,9.934501606065297,6.6,16.6,6.6,5.96,train
SK,2018,2.6,9.715952428689286,6.5,15.2,5.4,5.32,2.4,9.656307423393676,8.1,15.8,5.6,5.38,train
AT,2019,0.3,10.704816265940602,4.8,16.5,8.4,7.91,0.1,10.677292636113528,5.2,16.8,8.3,7.78,train
BE,2019,1.8,10.6389755735856,5.5,20.1,7.5,8.08,1.8,10.60187099989132,6.0,20.5,7.6,8.32,train
BG,2019,1.4,9.132378830506472,5.2,33.2,4.6,4.32,1.9,9.028818495352793,6.2,33.0,5.0,4.35,train
CH,2019,0.7,11.24739619715958,4.4,19.3,2.1,7.57,0.7,11.206807830362765,4.7,17.8,2.1,7.35,train
CY,2019,1.0,10.170073661693175,7.2,18.9,3.5,3.79,1.4,10.112937776718336,8.4,19.1,2.6,2.85,train
CZ,2019,0.5,9.9869091606752,2.0,12.1,7.4,6.36,0.3,9.916897239446046,2.2,11.8,7.4,6.27,train
DE,2019,0.3,10.669652825832646,2.9,17.3,7.2,9.67,0.2,10.640651618512848,3.2,18.5,7.0,9.47,train
DK,2019,1.8,10.878801624859744,5.0,17.3,8.7,8.53,1.3,10.858036996527373,5.1,17.5,8.7,8.49,train
EE,2019,15.5,9.975342989636555,4.5,23.7,5.5,4.95,16.4,9.9054855551988,5.4,23.6,5.3,4.84,train
EL,2019,8.1,9.756726171140723,17.9,29.0,5.7,4.99,8.8,9.730918287184853,19.7,30.3,5.5,4.78,train
ES,2019,0.2,10.189418091949102,14.1,26.2,6.1,6.4,0.2,10.163926888594034,15.3,27.3,6.0,6.28,train
FI,2019,4.6,10.673595774232204,6.8,14.5,7.2,7.18,4.7,10.646376824990888,7.5,16.6,7.1,7.01,train
FR,2019,1.2,10.493771097636834,8.4,18.8,8.1,9.26,1.2,10.46538644648612,9.0,17.9,8.2,9.34,train
HR,2019,1.4,9.556055475678573,6.6,20.8,7.3,5.56,1.4,9.496270911389155,8.3,22.1,6.9,5.51,train
HU,2019,1.0,9.629050706834368,3.3,21.1,4.5,4.29,0.8,9.551800150108434,3.6,20.6,4.6,4.56,train
IE,2019,2.0,11.201360452055116,5.0,20.2,4.8,4.89,2.0,11.135026884579869,5.8,20.8,4.8,4.96,train
IS,2019,5.2,11.057692214627943,3.5,11.6,7.8,7.08,3.4,11.087206627834796,2.7,11.3,7.6,6.85,train
IT,2019,1.8,10.31559720336296,9.9,24.6,6.7,6.31,2.4,10.298565567757803,10.6,25.7,6.7,6.35,train
LT,2019,1.4,9.771098364490385,6.3,25.5,5.0,4.61,2.2,9.698920386794851,6.2,28.5,4.7,4.35,train
LU,2019,0.2,11.517116669588695,5.6,20.1,5.2,4.64,0.3,11.501561134891178,5.6,20.1,5.1,4.43,train
