geo,year,oop_health_expenditure_share_pc
LU,2015,10.72
LU,2016,10.74
LU,2017,10.66
LU,2018,10.44
LU,2019,9.59
LU,2020,8.39
LU,2021,8.8
LU,2022,8.67
LU,2023,8.77
LU,2024,8.5
LV,2013,38.47
LV,2014,39.11
LV,2015,40.45
LV,2016,43.32
LV,2017,41.79
LV,2018,39.18
LV,2019,35.11
LV,2020,31.87
LV,2021,26.98
LV,2022,30.74
LV,2023,35.06
MD,2022,31.71
MD,2023,27.47
ME,2022,25.47
ME,2023,26.33
MT,2014,36.76
MT,2015,37.47
MT,2016,35.14
MT,2017,35.22
MT,2018,34.3
MT,2019,34.13
MT,2020,30.3
MT,2021,29.67
MT,2022,30.02
MT,2023,30.93
NL,2008,9.92
NL,2009,9.07
NL,2010,9.1
NL,2011,9.48
NL,2012,10.09
NL,2013,11.53
NL,2014,11.59
NL,2015,11.29
NL,2016,11.28
NL,2017,11.05
NL,2018,10.79
NL,2019,10.42
NL,2020,9.28
NL,2021,10.91
NL,2022,11.93
NL,2023,12.03
NL,2024,11.79
NO,2008,15.66
NO,2009,15.25
NO,2010,15.05
NO,2011,15.21
NO,2012,14.8
NO,2013,14.59
NO,2014,14.38
NO,2015,14.14
NO,2016,14.27
NO,2017,14.51
NO,2018,13.97
NO,2019,13.92
NO,2020,13.79
NO,2021,13.85
NO,2022,14.08
PL,2013,23.65
PL,2014,23.13
PL,2015,23.25
PL,2016,22.94
PL,2017,22.74
PL,2018,20.42
PL,2019,20.09
PL,2020,19.53
PL,2021,19.85
PL,2022,18.43
PL,2023,15.85
PL,2024,16.21
PT,2008,26.39
PT,2009,25.1
PT,2010,24.71
PT,2011,26.65
PT,2012,29.58
PT,2013,28.79
PT,2014,29.33
PT,2015,29.53
PT,2016,29.43
PT,2017,29.69
PT,2018,29.92
PT,2019,30.61
PT,2020,28.02
PT,2021,29.12
PT,2022,29.14
PT,2023,29.31
PT,2024,28.19
RO,2011,24.28
RO,2012,22.43
RO,2013,20.18
RO,2014,20.31
RO,2015,21.28
RO,2016,20.75
RO,2017,20.49
RO,2018,19.46
RO,2019,18.88
RO,2020,19.03
RO,2021,20.94
