indicator_id,dataset_code,care_type,barrier_type,denominator,reason_code,reason_label,geo,year,value_pc,status
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2009,10.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2010,10.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2011,9.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2012,8.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2013,8.9,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2014,5.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2015,4.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2016,2.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2017,2.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2018,1.9,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2019,1.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2020,1.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2021,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2022,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2023,1.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2024,1.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,BG,2025,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2008,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2009,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2010,1.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2011,0.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2012,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2013,1.2,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2014,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2015,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2016,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2017,0.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2018,0.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2019,0.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2020,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2021,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2022,0.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2023,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CH,2024,1.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2008,2.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2009,3.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2010,4.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2011,4.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2012,3.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2013,4.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2014,4.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2015,1.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2016,0.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2017,1.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2018,1.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2019,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2020,0.4,
