geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc
SK,2017,2.4,,15620.0,8.1,15.8,5.6,5.38
SK,2018,2.6,,16580.0,6.5,15.2,5.4,5.32
SK,2019,2.7,,17340.0,5.7,14.8,5.8,5.51
SK,2020,3.2,,17270.0,6.7,13.8,6.4,5.67
SK,2021,2.9,,18730.0,6.8,15.6,6.5,6.09
SK,2022,2.8,,20150.0,6.1,16.5,6.9,6.16
SK,2023,3.2,,22640.0,5.8,17.6,6.6,5.82
SK,2024,1.6,,23850.0,5.3,18.3,6.9,
SK,2025,1.1,,25060.0,5.4,16.7,,
TR,2008,13.2,,7450.0,,,,
TR,2009,14.9,,6500.0,12.6,,,
TR,2010,16.4,,8050.0,10.7,,,
TR,2011,12.2,,8150.0,8.8,,,
TR,2012,10.4,,9140.0,8.2,,,
TR,2013,10.5,,9480.0,8.8,,,
TR,2014,9.2,,9090.0,9.9,,,
TR,2015,6.8,,9700.0,10.3,26.7,,
TR,2016,3.8,,9600.0,10.9,26.6,,
TR,2017,2.6,,9170.0,10.9,32.3,,
TR,2018,2.9,,7850.0,10.9,32.4,,
TR,2019,3.0,,8030.0,13.7,33.1,,
TR,2020,1.9,,7340.0,13.2,34.1,,
TR,2021,2.3,,8050.0,12.0,34.0,,
TR,2022,1.7,,9930.0,10.5,32.8,,
TR,2023,1.2,,11860.0,9.4,30.7,,
TR,2024,1.2,,14140.0,8.8,30.4,,
TR,2025,0.7,,,8.4,29.8,,
UK,2008,1.0,,32280.0,,,,
UK,2009,1.2,,27920.0,,,,
UK,2010,1.0,,29830.0,,,,
UK,2011,1.2,,30230.0,,,,
UK,2012,1.4,,33140.0,,,,
UK,2013,1.6,,32700.0,,,,7.91
UK,2014,2.1,,35780.0,,,,7.91
UK,2015,2.8,,40620.0,,23.1,,7.86
UK,2016,1.0,,37080.0,,21.9,,7.86
UK,2017,3.3,b,35730.0,,21.8,,7.74
UK,2018,4.5,,36440.0,,22.8,,7.77
XK,2018,10.0,,,,,,
XK,2019,5.2,,,,,,
